# Die konservative Segmentprojektion: Kraft und Flaeche je Segment,
# und der daraus gebildete Segmentdruck.  Diese Groesse konvergiert.
shape,Pi,level,d_mid_m,tau_mid,area_m2,force_N,pressure_Pa
pi-0.50,-5.000000000e-01,3,1.795799564e-07,9.644649804e-01,3.837201170e-12,7.636839289e-08,1.990210821e+04
pi-0.50,-5.000000000e-01,3,5.815283964e-08,9.884928010e-01,3.612668004e-12,8.730588894e-08,2.416659622e+04
pi-0.50,-5.000000000e-01,4,4.972975180e-06,1.595493134e-02,8.169518602e-14,2.616938040e-10,3.203295283e+03
pi-0.50,-5.000000000e-01,4,4.806509013e-06,4.889501357e-02,2.665201613e-13,8.547331130e-10,3.207011090e+03
pi-0.50,-5.000000000e-01,4,4.629319882e-06,8.395694004e-02,4.870251856e-13,1.567506934e-09,3.218533621e+03
pi-0.50,-5.000000000e-01,4,4.440687456e-06,1.212832493e-01,7.491325593e-13,2.426434397e-09,3.238992041e+03
pi-0.50,-5.000000000e-01,4,4.239804185e-06,1.610337376e-01,1.059194728e-12,3.463171384e-09,3.269626720e+03
pi-0.50,-5.000000000e-01,4,4.025889381e-06,2.033628866e-01,1.423973893e-12,4.717211661e-09,3.312709371e+03
pi-0.50,-5.000000000e-01,4,3.798059018e-06,2.484456263e-01,1.852918792e-12,6.246843007e-09,3.371352826e+03
pi-0.50,-5.000000000e-01,4,3.555324059e-06,2.964776656e-01,2.355288902e-12,8.125287606e-09,3.449805074e+03
pi-0.50,-5.000000000e-01,4,3.296750462e-06,3.476438314e-01,2.940309087e-12,1.044208378e-08,3.551355819e+03
pi-0.50,-5.000000000e-01,4,3.030552748e-06,4.003186465e-01,3.371254393e-12,1.239729966e-08,3.677355138e+03
pi-0.50,-5.000000000e-01,4,2.772775589e-06,4.513272145e-01,3.573073770e-12,1.367940069e-08,3.828468588e+03
pi-0.50,-5.000000000e-01,4,2.530282823e-06,4.993113289e-01,3.717597388e-12,1.488534438e-08,4.004022714e+03
pi-0.50,-5.000000000e-01,4,2.302102024e-06,5.444634123e-01,3.812896750e-12,1.603042545e-08,4.204264238e+03
pi-0.50,-5.000000000e-01,4,2.087437180e-06,5.869409782e-01,3.863692115e-12,1.712300379e-08,4.431772327e+03
pi-0.50,-5.000000000e-01,4,1.885485903e-06,6.269028021e-01,3.881699157e-12,1.820502178e-08,4.689962062e+03
pi-0.50,-5.000000000e-01,4,1.695440974e-06,6.645086152e-01,3.869712173e-12,1.928389627e-08,4.983289559e+03
pi-0.50,-5.000000000e-01,4,1.516646023e-06,6.998882991e-01,3.831742686e-12,2.037614464e-08,5.317722591e+03
pi-0.50,-5.000000000e-01,4,1.348412963e-06,7.331780115e-01,3.776291697e-12,2.152878267e-08,5.701038055e+03
pi-0.50,-5.000000000e-01,4,1.190118579e-06,7.645010731e-01,3.701751103e-12,2.274267755e-08,6.143761943e+03
pi-0.50,-5.000000000e-01,4,1.041210190e-06,7.939668477e-01,3.615270249e-12,2.407905912e-08,6.660375978e+03
