# Einseitiges Normalfeld und Maxwell-Druck auf der Oberflaeche, je
# Netzstufe.  d ist der Abstand zur Kontaktlinie entlang der Oberflaeche.
# Die Werte bei kleinem d sind PUNKTWEISE und konvergieren nicht.
shape,Pi,level,d_m,r_m,z_m,tau,En_V_per_m,pM_Pa,tangential_fraction
pi+0.00,0.000000000e+00,4,1.941836901e-06,3.058163099e-06,0.000000000e+00,6.116326199e-01,3.826616691e+07,6.482591525e+03,3.870231883e-03
pi+0.00,0.000000000e+00,4,1.748465709e-06,3.251534291e-06,0.000000000e+00,6.503068581e-01,3.903082446e+07,6.744258135e+03,4.440613827e-03
pi+0.00,0.000000000e+00,4,1.566791599e-06,3.433208401e-06,0.000000000e+00,6.866416803e-01,3.987235547e+07,7.038214835e+03,5.093578407e-03
pi+0.00,0.000000000e+00,4,1.396171720e-06,3.603828280e-06,0.000000000e+00,7.207656560e-01,4.080074466e+07,7.369786613e+03,5.851072883e-03
pi+0.00,0.000000000e+00,4,1.235821384e-06,3.764178616e-06,0.000000000e+00,7.528357232e-01,4.182849271e+07,7.745744446e+03,6.741946116e-03
pi+0.00,0.000000000e+00,4,1.085229518e-06,3.914770482e-06,0.000000000e+00,7.829540963e-01,4.297367355e+07,8.175676428e+03,7.807195421e-03
pi+0.00,0.000000000e+00,4,9.437550159e-07,4.056244984e-06,0.000000000e+00,8.112489968e-01,4.425986496e+07,8.672392063e+03,9.104395469e-03
pi+0.00,0.000000000e+00,4,8.108566875e-07,4.189143312e-06,0.000000000e+00,8.378286625e-01,4.572092193e+07,9.254409066e+03,1.071973633e-02
pi+0.00,0.000000000e+00,4,6.859930591e-07,4.314006941e-06,0.000000000e+00,8.628013882e-01,4.740495811e+07,9.948698475e+03,1.278587789e-02
pi+0.00,0.000000000e+00,4,5.687059672e-07,4.431294033e-06,0.000000000e+00,8.862588066e-01,4.938464104e+07,1.079698597e+04,1.551987094e-02
pi+0.00,0.000000000e+00,4,4.585410850e-07,4.541458915e-06,0.000000000e+00,9.082917830e-01,5.177554502e+07,1.186774190e+04,1.930183301e-02
pi+0.00,0.000000000e+00,4,3.550235968e-07,4.644976403e-06,0.000000000e+00,9.289952806e-01,5.477464563e+07,1.328244075e+04,2.485721086e-02
pi+0.00,0.000000000e+00,4,2.577901390e-07,4.742209861e-06,0.000000000e+00,9.484419722e-01,5.876115660e+07,1.528619534e+04,3.377819765e-02
pi+0.00,0.000000000e+00,4,1.664581497e-07,4.833541850e-06,0.000000000e+00,9.667083701e-01,6.459049532e+07,1.846953512e+04,5.012779490e-02
pi+0.00,0.000000000e+00,4,8.062873718e-08,4.919371263e-06,0.000000000e+00,9.838742526e-01,7.528964290e+07,2.509511608e+04,9.330983868e-02
pi+0.00,0.000000000e+00,4,0.000000000e+00,5.000000000e-06,0.000000000e+00,1.000000000e+00,7.912721181e+07,2.771854693e+04,3.443500538e-01
pi+0.50,5.000000000e-01,1,5.053605103e-06,0.000000000e+00,6.350832689e-07,0.000000000e+00,4.127481199e+07,7.542041913e+03,1.398246194e-02
pi+0.50,5.000000000e-01,1,4.556577953e-06,4.969759916e-07,6.289076871e-07,9.835100681e-02,4.148323215e+07,7.618402400e+03,1.023395626e-02
pi+0.50,5.000000000e-01,1,3.960872732e-06,1.092188789e-06,6.052390933e-07,2.162282863e-01,4.177614157e+07,7.726367952e+03,8.892178650e-03
pi+0.50,5.000000000e-01,1,3.244464530e-06,1.806674374e-06,5.533143075e-07,3.579900953e-01,4.227519705e+07,7.912068076e+03,6.254518125e-03
pi+0.50,5.000000000e-01,1,2.505630262e-06,2.541087974e-06,4.729982781e-07,5.041895418e-01,4.303074820e+07,8.197407582e+03,2.613675005e-03
pi+0.50,5.000000000e-01,1,1.884176360e-06,3.156179642e-06,3.844764259e-07,6.271619325e-01,4.413190703e+07,8.622319736e+03,3.895373375e-03
pi+0.50,5.000000000e-01,1,1.363533933e-06,3.669170811e-06,2.956322328e-07,7.301858960e-01,4.562360645e+07,9.215055578e+03,6.830793766e-03
pi+0.50,5.000000000e-01,1,9.277404970e-07,4.096662813e-06,2.110214022e-07,8.164200649e-01,4.769701711e+07,1.007166272e+04,1.219994373e-02
pi+0.50,5.000000000e-01,1,5.620389253e-07,4.453905606e-06,1.328453163e-07,8.887845580e-01,5.078841327e+07,1.141952459e+04,2.255573056e-02
