# Potential und Feldstaerke in einem festen Fenster, identisch fuer jede
# vorgeschriebene Form.  Punkte im Leiter tragen kein Feld und sind leer.
shape,r_m,z_m,phi_V,E_V_per_m
pi+0.00,4.583333333e-06,-9.500000000e-06,,
pi+0.00,4.791666667e-06,-9.500000000e-06,,
pi+0.00,5.000000000e-06,-9.500000000e-06,1.500000000e+03,1.652850614e+07
pi+0.00,5.208333333e-06,-9.500000000e-06,1.496553605e+03,1.615375296e+07
pi+0.00,5.416666667e-06,-9.500000000e-06,1.493251328e+03,1.553419198e+07
pi+0.00,5.625000000e-06,-9.500000000e-06,1.490078289e+03,1.495121470e+07
pi+0.00,5.833333333e-06,-9.500000000e-06,1.487014143e+03,1.440411761e+07
pi+0.00,6.041666667e-06,-9.500000000e-06,1.484032949e+03,1.388399971e+07
pi+0.00,6.250000000e-06,-9.500000000e-06,1.481210971e+03,1.341146198e+07
pi+0.00,6.458333333e-06,-9.500000000e-06,1.478448522e+03,1.295626174e+07
pi+0.00,6.666666667e-06,-9.500000000e-06,1.475794000e+03,1.253173716e+07
pi+0.00,6.875000000e-06,-9.500000000e-06,1.473218926e+03,1.212793486e+07
pi+0.00,7.083333333e-06,-9.500000000e-06,1.470734935e+03,1.174770753e+07
pi+0.00,7.291666667e-06,-9.500000000e-06,1.468308367e+03,1.138168033e+07
pi+0.00,7.500000000e-06,-9.500000000e-06,1.465997179e+03,1.104319193e+07
pi+0.00,7.708333333e-06,-9.500000000e-06,1.463685991e+03,1.070558619e+07
pi+0.00,7.916666667e-06,-9.500000000e-06,1.461535529e+03,1.041946595e+07
pi+0.00,8.125000000e-06,-9.500000000e-06,1.459398673e+03,1.013834151e+07
pi+0.00,8.333333333e-06,-9.500000000e-06,1.457294808e+03,9.863636892e+06
pi+0.00,8.541666667e-06,-9.500000000e-06,1.455322905e+03,9.612253484e+06
pi+0.00,8.750000000e-06,-9.500000000e-06,1.453351002e+03,9.361551551e+06
pi+0.00,8.958333333e-06,-9.500000000e-06,1.451445943e+03,9.115041674e+06
pi+0.00,9.166666667e-06,-9.500000000e-06,1.449613867e+03,8.873021033e+06
pi+0.00,9.375000000e-06,-9.500000000e-06,1.447789437e+03,8.633023486e+06
pi+0.00,9.583333333e-06,-9.500000000e-06,1.446070327e+03,8.411287726e+06
pi+0.00,9.791666667e-06,-9.500000000e-06,1.444351217e+03,8.190225889e+06
pi+0.00,1.000000000e-05,-9.500000000e-06,1.442718554e+03,7.983744957e+06
pi+0.00,1.020833333e-05,-9.500000000e-06,1.441095400e+03,7.779374033e+06
pi+0.00,1.041666667e-05,-9.500000000e-06,1.439545453e+03,7.586566121e+06
pi+0.00,1.062500000e-05,-9.500000000e-06,1.438019390e+03,7.397908367e+06
pi+0.00,1.083333333e-05,-9.500000000e-06,1.436533416e+03,7.215790681e+06
pi+0.00,1.104166667e-05,-9.500000000e-06,1.435095577e+03,7.041175783e+06
pi+0.00,1.125000000e-05,-9.500000000e-06,1.433690095e+03,6.871660732e+06
pi+0.00,1.145833333e-05,-9.500000000e-06,1.432320068e+03,6.737521258e+06
pi+0.00,1.166666667e-05,-9.500000000e-06,1.429749755e+03,2.142999026e+07
pi+0.00,1.187500000e-05,-9.500000000e-06,1.425393350e+03,2.107721917e+07
pi+0.00,1.208333333e-05,-9.500000000e-06,1.421129034e+03,2.066478340e+07
pi+0.00,1.229166667e-05,-9.500000000e-06,1.416955650e+03,2.026583212e+07
pi+0.00,1.250000000e-05,-9.500000000e-06,1.412868056e+03,1.987937816e+07
pi+0.00,1.270833333e-05,-9.500000000e-06,1.408855856e+03,1.950405495e+07
pi+0.00,1.291666667e-05,-9.500000000e-06,1.404923556e+03,1.914050205e+07
pi+0.00,1.312500000e-05,-9.500000000e-06,1.401090894e+03,1.879037817e+07
pi+0.00,1.333333333e-05,-9.500000000e-06,1.397301719e+03,1.844661405e+07
pi+0.00,1.354166667e-05,-9.500000000e-06,1.393621021e+03,1.811772153e+07
pi+0.00,1.375000000e-05,-9.500000000e-06,1.389981693e+03,1.779469464e+07
pi+0.00,1.395833333e-05,-9.500000000e-06,1.386440936e+03,1.748459392e+07
pi+0.00,1.416666667e-05,-9.500000000e-06,1.382926304e+03,1.717838460e+07
pi+0.00,1.437500000e-05,-9.500000000e-06,1.379534660e+03,1.688793765e+07
pi+0.00,1.458333333e-05,-9.500000000e-06,1.376143016e+03,1.659810565e+07
pi+0.00,1.479166667e-05,-9.500000000e-06,1.372873538e+03,1.632334134e+07
pi+0.00,1.500000000e-05,-9.500000000e-06,1.369639691e+03,1.605334150e+07
pi+0.00,1.520833333e-05,-9.500000000e-06,1.366415205e+03,1.578502229e+07
pi+0.00,1.541666667e-05,-9.500000000e-06,1.363347133e+03,1.553576245e+07
pi+0.00,1.562500000e-05,-9.500000000e-06,1.360279061e+03,1.528699095e+07
pi+0.00,1.583333333e-05,-9.500000000e-06,1.357210989e+03,1.503873203e+07
pi+0.00,1.604166667e-05,-9.500000000e-06,1.354311694e+03,1.480970638e+07
pi+0.00,1.625000000e-05,-9.500000000e-06,1.351416248e+03,1.458153555e+07
pi+0.00,1.645833333e-05,-9.500000000e-06,1.348520803e+03,1.435381190e+07
pi+0.00,1.666666667e-05,-9.500000000e-06,1.345713699e+03,1.413643598e+07
pi+0.00,1.687500000e-05,-9.500000000e-06,1.342996411e+03,1.392949497e+07
pi+0.00,1.708333333e-05,-9.500000000e-06,1.340279122e+03,1.372292865e+07
pi+0.00,1.729166667e-05,-9.500000000e-06,1.337561834e+03,1.351675419e+07
pi+0.00,1.750000000e-05,-9.500000000e-06,1.334944990e+03,1.332711582e+07
pi+0.00,1.770833333e-05,-9.500000000e-06,1.332409819e+03,1.315089860e+07
pi+0.00,1.791666667e-05,-9.500000000e-06,1.329874649e+03,1.297496788e+07
pi+0.00,1.812500000e-05,-9.500000000e-06,1.327339478e+03,1.279933546e+07
pi+0.00,1.833333333e-05,-9.500000000e-06,1.324819626e+03,1.262570793e+07
pi+0.00,1.854166667e-05,-9.500000000e-06,1.322459513e+03,1.247001628e+07
pi+0.00,1.875000000e-05,-9.500000000e-06,1.320099400e+03,1.231455856e+07
