# boundary mesh nodes in the meridian half-plane (r, z), SI
index,r_m,z_m,on_axis,is_corner,feature
356,3.00000000000000006e-03,4.63636363636365069e-04,0,0,
357,3.00000000000000006e-03,5.50000000000002960e-04,0,0,
358,3.00000000000000006e-03,6.36363636363640852e-04,0,0,
359,3.00000000000000006e-03,7.22727272727278960e-04,0,0,
360,3.00000000000000006e-03,8.09090909090916851e-04,0,0,
361,3.00000000000000006e-03,8.95454545454554742e-04,0,0,
362,3.00000000000000006e-03,9.81818181818192633e-04,0,0,
363,3.00000000000000006e-03,1.06818181818182857e-03,0,0,
364,3.00000000000000006e-03,1.15454545454546321e-03,0,0,
365,3.00000000000000006e-03,1.24090909090909742e-03,0,0,
366,3.00000000000000006e-03,1.32727272727273140e-03,0,0,
367,3.00000000000000006e-03,1.41363636363636561e-03,0,0,
368,3.00000000000000006e-03,1.50000000000000003e-03,0,1,
369,2.91176470588235285e-03,1.50000000000000003e-03,0,0,
370,2.82352941176470564e-03,1.50000000000000003e-03,0,0,
371,2.73529411764705842e-03,1.50000000000000003e-03,0,0,
372,2.64705882352941121e-03,1.50000000000000003e-03,0,0,
373,2.55882352941176443e-03,1.50000000000000003e-03,0,0,
374,2.47058823529411765e-03,1.50000000000000003e-03,0,0,
375,2.38235294117647087e-03,1.50000000000000003e-03,0,0,
376,2.29411764705882409e-03,1.50000000000000003e-03,0,0,
377,2.20588235294117731e-03,1.50000000000000003e-03,0,0,
378,2.11764705882353053e-03,1.50000000000000003e-03,0,0,
379,2.02941176470588375e-03,1.50000000000000003e-03,0,0,
380,1.94117647058823718e-03,1.50000000000000003e-03,0,0,
381,1.85294117647059062e-03,1.50000000000000003e-03,0,0,
382,1.76470588235294384e-03,1.50000000000000003e-03,0,0,
383,1.67647058823529684e-03,1.50000000000000003e-03,0,0,
384,1.58823529411765028e-03,1.50000000000000003e-03,0,0,
385,1.50000000000000350e-03,1.50000000000000003e-03,0,0,
386,1.41176470588235672e-03,1.50000000000000003e-03,0,0,
387,1.32352941176471016e-03,1.50000000000000003e-03,0,0,
388,1.23529411764706316e-03,1.50000000000000003e-03,0,0,
389,1.14705882352941638e-03,1.50000000000000003e-03,0,0,
390,1.05882352941176960e-03,1.50000000000000003e-03,0,0,
391,9.70588235294122820e-04,1.50000000000000003e-03,0,0,
392,8.82352941176476474e-04,1.50000000000000003e-03,0,0,
393,7.94117647058829694e-04,1.50000000000000003e-03,0,0,
394,7.05882352941182914e-04,1.50000000000000003e-03,0,0,
395,6.17647058823535700e-04,1.50000000000000003e-03,0,0,
396,5.29411764705889354e-04,1.50000000000000003e-03,0,0,
397,4.41176470588242574e-04,1.50000000000000003e-03,0,0,
398,3.52941176470595794e-04,1.50000000000000003e-03,0,0,
399,2.64705882352949014e-04,1.50000000000000003e-03,0,0,
400,1.76470588235302234e-04,1.50000000000000003e-03,0,0,
401,8.82352941176515505e-05,1.50000000000000003e-03,0,0,
