# Bahnen im r-z-Schnitt.  Jede Zeile ist ein Bahnpunkt; die Bahnen sind
# durch Neustarten der Integration mit wachsender Schrittzahl abgetastet,
# damit die Datei nicht die ganze Historie tragen muss.
case,particle,step,r_m,z_m
kation_ohne_raumladung,20,19193,5.000000000e-06,6.404247064e-05
kation_ohne_raumladung,20,19592,5.000000000e-06,6.672868321e-05
kation_ohne_raumladung,20,19992,5.000000000e-06,6.947710483e-05
kation_ohne_raumladung,20,20392,5.000000000e-06,7.228107255e-05
kation_ohne_raumladung,20,20792,5.000000000e-06,7.514058639e-05
kation_ohne_raumladung,20,21192,5.000000000e-06,7.805564634e-05
kation_ohne_raumladung,20,21592,5.000000000e-06,8.102625241e-05
kation_ohne_raumladung,20,21991,5.000000000e-06,8.404476994e-05
kation_ohne_raumladung,20,22391,5.000000000e-06,8.712632936e-05
kation_ohne_raumladung,20,22791,5.000000000e-06,9.026343489e-05
kation_ohne_raumladung,20,23191,5.000000000e-06,9.345608654e-05
kation_ohne_raumladung,20,23591,5.000000000e-06,9.670428430e-05
kation_ohne_raumladung,20,23991,5.000000000e-06,1.000000000e-04
kation_ohne_raumladung,24,1,5.975609756e-06,1.000001736e-07
kation_ohne_raumladung,24,400,5.975609756e-06,1.277730559e-07
kation_ohne_raumladung,24,800,5.975609756e-06,2.110922237e-07
kation_ohne_raumladung,24,1200,5.975609756e-06,3.499575034e-07
kation_ohne_raumladung,24,1600,5.975609756e-06,5.443688949e-07
kation_ohne_raumladung,24,2000,5.975609756e-06,7.943263983e-07
kation_ohne_raumladung,24,2400,5.975609756e-06,1.099830014e-06
kation_ohne_raumladung,24,2799,5.975609756e-06,1.459907857e-06
kation_ohne_raumladung,24,3199,5.975609756e-06,1.876364831e-06
kation_ohne_raumladung,24,3599,5.975609756e-06,2.348367917e-06
kation_ohne_raumladung,24,3999,5.975609756e-06,2.875917114e-06
kation_ohne_raumladung,24,4399,5.975609756e-06,3.459012423e-06
kation_ohne_raumladung,24,4799,5.975609756e-06,4.097653844e-06
kation_ohne_raumladung,24,5198,5.975609756e-06,4.790036650e-06
kation_ohne_raumladung,24,5598,5.975609756e-06,5.539631429e-06
kation_ohne_raumladung,24,5998,5.975609756e-06,6.344772321e-06
kation_ohne_raumladung,24,6398,5.975609756e-06,7.205459324e-06
