# Advektierte Oberflaeche gegen die exakte Lagrange-Abbildung.
# Das Feld ist VORGESCHRIEBEN; nichts wird dafuer geloest.
case,t_over_T,node,r_m,z_m,r_exact_m,z_exact_m
dilatation,0.5000,61,5.978518223e-06,2.339946927e-06,5.978518223e-06,2.339946927e-06
dilatation,0.5000,62,6.023307605e-06,2.222115492e-06,6.023307605e-06,2.222115492e-06
dilatation,0.5000,63,6.065774888e-06,2.103427389e-06,6.065774888e-06,2.103427389e-06
dilatation,0.5000,64,6.105903698e-06,1.983928375e-06,6.105903698e-06,1.983928375e-06
dilatation,0.5000,65,6.143678567e-06,1.863664518e-06,6.143678567e-06,1.863664518e-06
dilatation,0.5000,66,6.179084930e-06,1.742682184e-06,6.179084930e-06,1.742682184e-06
dilatation,0.5000,67,6.212109139e-06,1.621028012e-06,6.212109139e-06,1.621028012e-06
dilatation,0.5000,68,6.242738461e-06,1.498748903e-06,6.242738461e-06,1.498748903e-06
dilatation,0.5000,69,6.270961089e-06,1.375891998e-06,6.270961089e-06,1.375891998e-06
dilatation,0.5000,70,6.296766142e-06,1.252504660e-06,6.296766142e-06,1.252504660e-06
dilatation,0.5000,71,6.320143671e-06,1.128634458e-06,6.320143671e-06,1.128634458e-06
dilatation,0.5000,72,6.341084665e-06,1.004329146e-06,6.341084665e-06,1.004329146e-06
dilatation,0.5000,73,6.359581051e-06,8.796366456e-07,6.359581051e-06,8.796366456e-07
dilatation,0.5000,74,6.375625696e-06,7.546050287e-07,6.375625696e-06,7.546050287e-07
dilatation,0.5000,75,6.389212417e-06,6.292824973e-07,6.389212417e-06,6.292824973e-07
dilatation,0.5000,76,6.400335974e-06,5.037173654e-07,6.400335974e-06,5.037173654e-07
dilatation,0.5000,77,6.408992080e-06,3.779580409e-07,6.408992080e-06,3.779580409e-07
dilatation,0.5000,78,6.415177398e-06,2.520530064e-07,6.415177398e-06,2.520530064e-07
dilatation,0.5000,79,6.418889543e-06,1.260508007e-07,6.418889543e-06,1.260508007e-07
dilatation,0.5000,80,6.420127083e-06,0.000000000e+00,6.420127083e-06,0.000000000e+00
dilatation,0.7500,0,0.000000000e+00,7.274957073e-06,0.000000000e+00,7.274957073e-06
dilatation,0.7500,1,1.428342698e-07,7.273554756e-06,1.428342698e-07,7.273554756e-06
dilatation,0.7500,2,2.856134743e-07,7.269348345e-06,2.856134743e-07,7.269348345e-06
dilatation,0.7500,3,4.282825694e-07,7.262339462e-06,4.282825694e-07,7.262339462e-06
dilatation,0.7500,4,5.707865534e-07,7.252530808e-06,5.707865534e-07,7.252530808e-06
dilatation,0.7500,5,7.130704883e-07,7.239926166e-06,7.130704883e-07,7.239926166e-06
dilatation,0.7500,6,8.550795210e-07,7.224530395e-06,8.550795210e-07,7.224530395e-06
dilatation,0.7500,7,9.967589042e-07,7.206349430e-06,9.967589042e-07,7.206349430e-06
dilatation,0.7500,8,1.138054018e-06,7.185390279e-06,1.138054018e-06,7.185390279e-06
dilatation,0.7500,9,1.278910390e-06,7.161661024e-06,1.278910390e-06,7.161661024e-06
dilatation,0.7500,10,1.419273718e-06,7.135170813e-06,1.419273718e-06,7.135170813e-06
dilatation,0.7500,11,1.559089889e-06,7.105929857e-06,1.559089889e-06,7.105929857e-06
dilatation,0.7500,12,1.698305001e-06,7.073949430e-06,1.698305001e-06,7.073949430e-06
dilatation,0.7500,13,1.836865384e-06,7.039241861e-06,1.836865384e-06,7.039241861e-06
dilatation,0.7500,14,1.974717621e-06,7.001820530e-06,1.974717621e-06,7.001820530e-06
dilatation,0.7500,15,2.111808566e-06,6.961699864e-06,2.111808566e-06,6.961699864e-06
