# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
5.1548117e-04,-2.3000000e-04,1.3503875e+03,5.6267012e+05,reservoir_solid
5.1882845e-04,-2.3000000e-04,1.3503089e+03,5.6282776e+05,reservoir_solid
5.2217573e-04,-2.3000000e-04,1.3502302e+03,5.6298576e+05,reservoir_solid
5.2552301e-04,-2.3000000e-04,1.3501515e+03,5.6314411e+05,reservoir_solid
5.2887029e-04,-2.3000000e-04,1.3500759e+03,5.6329609e+05,reservoir_solid
5.3221757e-04,-2.3000000e-04,1.3500098e+03,5.6342772e+05,reservoir_solid
5.3556485e-04,-2.3000000e-04,1.3499438e+03,5.6355961e+05,reservoir_solid
5.3891213e-04,-2.3000000e-04,1.3498777e+03,5.6369175e+05,reservoir_solid
5.4225941e-04,-2.3000000e-04,1.3498116e+03,5.6382414e+05,reservoir_solid
5.4560669e-04,-2.3000000e-04,1.3497456e+03,5.6395677e+05,reservoir_solid
5.4895397e-04,-2.3000000e-04,1.3496795e+03,5.6408966e+05,reservoir_solid
5.5230126e-04,-2.3000000e-04,1.3496134e+03,5.6422279e+05,reservoir_solid
5.5564854e-04,-2.3000000e-04,1.3495474e+03,5.6435618e+05,reservoir_solid
5.5899582e-04,-2.3000000e-04,1.3494813e+03,5.6448981e+05,reservoir_solid
5.6234310e-04,-2.3000000e-04,1.3494212e+03,5.6461083e+05,reservoir_solid
5.6569038e-04,-2.3000000e-04,1.3493668e+03,5.6471994e+05,reservoir_solid
5.6903766e-04,-2.3000000e-04,1.3493123e+03,5.6482923e+05,reservoir_solid
5.7238494e-04,-2.3000000e-04,1.3492578e+03,5.6493869e+05,reservoir_solid
5.7573222e-04,-2.3000000e-04,1.3492033e+03,5.6504832e+05,reservoir_solid
5.7907950e-04,-2.3000000e-04,1.3491489e+03,5.6515813e+05,reservoir_solid
5.8242678e-04,-2.3000000e-04,1.3490944e+03,5.6526811e+05,reservoir_solid
5.8577406e-04,-2.3000000e-04,1.3490399e+03,5.6537827e+05,reservoir_solid
5.8912134e-04,-2.3000000e-04,1.3489854e+03,5.6548859e+05,reservoir_solid
5.9246862e-04,-2.3000000e-04,1.3489310e+03,5.6559910e+05,reservoir_solid
5.9581590e-04,-2.3000000e-04,1.3488765e+03,5.6570977e+05,reservoir_solid
5.9916318e-04,-2.3000000e-04,1.3488314e+03,5.6580050e+05,reservoir_solid
6.0251046e-04,-2.3000000e-04,1.3487875e+03,5.6588878e+05,reservoir_solid
6.0585774e-04,-2.3000000e-04,1.3487436e+03,5.6597717e+05,reservoir_solid
6.0920502e-04,-2.3000000e-04,1.3486997e+03,5.6606568e+05,reservoir_solid
6.1255230e-04,-2.3000000e-04,1.3486558e+03,5.6615431e+05,reservoir_solid
6.1589958e-04,-2.3000000e-04,1.3486119e+03,5.6624306e+05,reservoir_solid
6.1924686e-04,-2.3000000e-04,1.3485680e+03,5.6633193e+05,reservoir_solid
6.2259414e-04,-2.3000000e-04,1.3485241e+03,5.6642092e+05,reservoir_solid
6.2594142e-04,-2.3000000e-04,1.3484801e+03,5.6651002e+05,reservoir_solid
6.2928870e-04,-2.3000000e-04,1.3484362e+03,5.6659925e+05,reservoir_solid
6.3263598e-04,-2.3000000e-04,1.3483923e+03,5.6668860e+05,reservoir_solid
6.3598326e-04,-2.3000000e-04,1.3483511e+03,5.6677230e+05,reservoir_solid
6.3933054e-04,-2.3000000e-04,1.3483168e+03,5.6684115e+05,reservoir_solid
6.4267782e-04,-2.3000000e-04,1.3482824e+03,5.6691009e+05,reservoir_solid
6.4602510e-04,-2.3000000e-04,1.3482481e+03,5.6697910e+05,reservoir_solid
6.4937238e-04,-2.3000000e-04,1.3482138e+03,5.6704820e+05,reservoir_solid
6.5271967e-04,-2.3000000e-04,1.3481794e+03,5.6711738e+05,reservoir_solid
6.5606695e-04,-2.3000000e-04,1.3481451e+03,5.6718664e+05,reservoir_solid
6.5941423e-04,-2.3000000e-04,1.3481108e+03,5.6725598e+05,reservoir_solid
6.6276151e-04,-2.3000000e-04,1.3480764e+03,5.6732541e+05,reservoir_solid
6.6610879e-04,-2.3000000e-04,1.3480421e+03,5.6739491e+05,reservoir_solid
6.6945607e-04,-2.3000000e-04,1.3480078e+03,5.6746450e+05,reservoir_solid
6.7280335e-04,-2.3000000e-04,1.3479734e+03,5.6753417e+05,reservoir_solid
6.7615063e-04,-2.3000000e-04,1.3479391e+03,5.6760391e+05,reservoir_solid
6.7949791e-04,-2.3000000e-04,1.3479100e+03,5.6766242e+05,reservoir_solid
6.8284519e-04,-2.3000000e-04,1.3478843e+03,5.6771338e+05,reservoir_solid
6.8619247e-04,-2.3000000e-04,1.3478586e+03,5.6776439e+05,reservoir_solid
6.8953975e-04,-2.3000000e-04,1.3478329e+03,5.6781546e+05,reservoir_solid
6.9288703e-04,-2.3000000e-04,1.3478072e+03,5.6786658e+05,reservoir_solid
6.9623431e-04,-2.3000000e-04,1.3477815e+03,5.6791776e+05,reservoir_solid
6.9958159e-04,-2.3000000e-04,1.3477558e+03,5.6796899e+05,reservoir_solid
7.0292887e-04,-2.3000000e-04,1.3477302e+03,5.6802028e+05,reservoir_solid
7.0627615e-04,-2.3000000e-04,1.3477045e+03,5.6807162e+05,reservoir_solid
7.0962343e-04,-2.3000000e-04,1.3476788e+03,5.6812302e+05,reservoir_solid
7.1297071e-04,-2.3000000e-04,1.3476531e+03,5.6817448e+05,reservoir_solid
7.1631799e-04,-2.3000000e-04,1.3476274e+03,5.6822599e+05,reservoir_solid
7.1966527e-04,-2.3000000e-04,1.3476017e+03,5.6827755e+05,reservoir_solid
7.2301255e-04,-2.3000000e-04,1.3475761e+03,5.6832917e+05,reservoir_solid
7.2635983e-04,-2.3000000e-04,1.3475562e+03,5.6836786e+05,reservoir_solid
7.2970711e-04,-2.3000000e-04,1.3475383e+03,5.6840214e+05,reservoir_solid
7.3305439e-04,-2.3000000e-04,1.3475205e+03,5.6843646e+05,reservoir_solid
7.3640167e-04,-2.3000000e-04,1.3475026e+03,5.6847081e+05,reservoir_solid
7.3974895e-04,-2.3000000e-04,1.3474847e+03,5.6850521e+05,reservoir_solid
7.4309623e-04,-2.3000000e-04,1.3474669e+03,5.6853964e+05,reservoir_solid
7.4644351e-04,-2.3000000e-04,1.3474490e+03,5.6857411e+05,reservoir_solid
7.4979079e-04,-2.3000000e-04,1.3474311e+03,5.6860862e+05,reservoir_solid
7.5313808e-04,-2.3000000e-04,1.3474133e+03,5.6864316e+05,reservoir_solid
7.5648536e-04,-2.3000000e-04,1.3473954e+03,5.6867775e+05,reservoir_solid
7.5983264e-04,-2.3000000e-04,1.3473775e+03,5.6871237e+05,reservoir_solid
7.6317992e-04,-2.3000000e-04,1.3473597e+03,5.6874703e+05,reservoir_solid
7.6652720e-04,-2.3000000e-04,1.3473418e+03,5.6878173e+05,reservoir_solid
7.6987448e-04,-2.3000000e-04,1.3473239e+03,5.6881646e+05,reservoir_solid
7.7322176e-04,-2.3000000e-04,1.3473061e+03,5.6885124e+05,reservoir_solid
7.7656904e-04,-2.3000000e-04,1.3472926e+03,5.6887594e+05,reservoir_solid
7.7991632e-04,-2.3000000e-04,1.3472818e+03,5.6889438e+05,reservoir_solid
7.8326360e-04,-2.3000000e-04,1.3472711e+03,5.6891284e+05,reservoir_solid
7.8661088e-04,-2.3000000e-04,1.3472604e+03,5.6893133e+05,reservoir_solid
7.8995816e-04,-2.3000000e-04,1.3472496e+03,5.6894985e+05,reservoir_solid
7.9330544e-04,-2.3000000e-04,1.3472389e+03,5.6896840e+05,reservoir_solid
7.9665272e-04,-2.3000000e-04,1.3472281e+03,5.6898697e+05,reservoir_solid
8.0000000e-04,-2.3000000e-04,1.3472174e+03,5.6900557e+05,reservoir_solid
