# Nahfeldausschnitt, fuer alle Vorratsvarianten identisch
# |E| ist im Inneren der Fluessigkeit nicht definiert (idealer Leiter) und dort 0
r_m,z_m,phi_V,E_V_per_m,region
6.6945607e-05,-2.2589958e-04,1.4100837e+03,6.4779207e+05,reservoir_solid
7.0292887e-05,-2.2589958e-04,1.4082220e+03,6.3040076e+05,reservoir_solid
7.3640167e-05,-2.2589958e-04,1.4064439e+03,6.1522904e+05,reservoir_solid
7.6987448e-05,-2.2589958e-04,1.4047380e+03,6.0191719e+05,reservoir_solid
8.0334728e-05,-2.2589958e-04,1.4030923e+03,5.9016109e+05,reservoir_solid
8.3682008e-05,-2.2589958e-04,1.4015384e+03,5.8022390e+05,reservoir_solid
8.7029289e-05,-2.2589958e-04,1.4000357e+03,5.7142924e+05,reservoir_solid
9.0376569e-05,-2.2589958e-04,1.3985772e+03,5.6364288e+05,reservoir_solid
9.3723849e-05,-2.2589958e-04,1.3972006e+03,5.5711830e+05,reservoir_solid
9.7071130e-05,-2.2589958e-04,1.3958413e+03,5.5118473e+05,reservoir_solid
1.0041841e-04,-2.2589958e-04,1.3945673e+03,5.4630943e+05,reservoir_solid
1.0376569e-04,-2.2589958e-04,1.3933009e+03,5.4185337e+05,reservoir_solid
1.0711297e-04,-2.2589958e-04,1.3921154e+03,5.3823130e+05,reservoir_solid
1.1046025e-04,-2.2589958e-04,1.3909299e+03,5.3492103e+05,reservoir_solid
1.1380753e-04,-2.2589958e-04,1.3898243e+03,5.3228790e+05,reservoir_solid
1.1715481e-04,-2.2589958e-04,1.3887248e+03,5.2993840e+05,reservoir_solid
1.2050209e-04,-2.2589958e-04,1.3876726e+03,5.2805140e+05,reservoir_solid
1.2384937e-04,-2.2589958e-04,1.3866561e+03,5.2651923e+05,reservoir_solid
1.2719665e-04,-2.2589958e-04,1.3856412e+03,5.2517400e+05,reservoir_solid
1.3054393e-04,-2.2589958e-04,1.3846995e+03,5.2410674e+05,reservoir_solid
1.3389121e-04,-2.2589958e-04,1.3837577e+03,5.2320477e+05,reservoir_solid
1.3723849e-04,-2.2589958e-04,1.3828535e+03,5.2250479e+05,reservoir_solid
1.4058577e-04,-2.2589958e-04,1.3819745e+03,5.2197637e+05,reservoir_solid
1.4393305e-04,-2.2589958e-04,1.3811151e+03,5.2160064e+05,reservoir_solid
1.4728033e-04,-2.2589958e-04,1.3802885e+03,5.2136868e+05,reservoir_solid
1.5062762e-04,-2.2589958e-04,1.3794769e+03,5.2125667e+05,reservoir_solid
1.5397490e-04,-2.2589958e-04,1.3786945e+03,5.2125276e+05,reservoir_solid
1.5732218e-04,-2.2589958e-04,1.3779299e+03,5.2134362e+05,reservoir_solid
1.6066946e-04,-2.2589958e-04,1.3771851e+03,5.2151848e+05,reservoir_solid
1.6401674e-04,-2.2589958e-04,1.3764651e+03,5.2176232e+05,reservoir_solid
1.6736402e-04,-2.2589958e-04,1.3757583e+03,5.2207458e+05,reservoir_solid
1.7071130e-04,-2.2589958e-04,1.3750737e+03,5.2243869e+05,reservoir_solid
1.7405858e-04,-2.2589958e-04,1.3744079e+03,5.2284919e+05,reservoir_solid
1.7740586e-04,-2.2589958e-04,1.3737574e+03,5.2330329e+05,reservoir_solid
1.8075314e-04,-2.2589958e-04,1.3731233e+03,5.2379354e+05,reservoir_solid
1.8410042e-04,-2.2589958e-04,1.3725056e+03,5.2431381e+05,reservoir_solid
1.8744770e-04,-2.2589958e-04,1.3719040e+03,5.2485903e+05,reservoir_solid
1.9079498e-04,-2.2589958e-04,1.3713177e+03,5.2542517e+05,reservoir_solid
1.9414226e-04,-2.2589958e-04,1.3707459e+03,5.2600986e+05,reservoir_solid
1.9748954e-04,-2.2589958e-04,1.3701876e+03,5.2661048e+05,reservoir_solid
