# Materialgebiet je Zelle
i,j,region
50,6,vacuum
51,6,vacuum
52,6,vacuum
53,6,vacuum
54,6,vacuum
55,6,vacuum
56,6,vacuum
57,6,vacuum
58,6,vacuum
59,6,vacuum
60,6,vacuum
61,6,vacuum
62,6,vacuum
63,6,vacuum
64,6,vacuum
65,6,vacuum
66,6,vacuum
67,6,vacuum
68,6,vacuum
69,6,vacuum
70,6,vacuum
71,6,vacuum
72,6,vacuum
73,6,vacuum
74,6,vacuum
75,6,vacuum
76,6,vacuum
77,6,vacuum
78,6,vacuum
79,6,vacuum
80,6,vacuum
81,6,vacuum
82,6,vacuum
83,6,vacuum
84,6,vacuum
85,6,vacuum
86,6,vacuum
87,6,vacuum
88,6,vacuum
89,6,vacuum
90,6,vacuum
91,6,vacuum
92,6,vacuum
93,6,vacuum
94,6,vacuum
95,6,vacuum
96,6,vacuum
97,6,vacuum
98,6,vacuum
99,6,vacuum
100,6,vacuum
101,6,vacuum
102,6,vacuum
103,6,vacuum
104,6,vacuum
105,6,vacuum
106,6,vacuum
107,6,vacuum
108,6,vacuum
109,6,vacuum
110,6,vacuum
111,6,vacuum
112,6,vacuum
113,6,vacuum
114,6,vacuum
115,6,vacuum
