# strukturiertes Volumennetz: Knoten (i,j) -> (r,z)
# nr=239 nz=313
i,j,r_m,z_m
57,2,2.190983090e-05,-4.672976521e-03
58,2,2.219208379e-05,-4.672976521e-03
59,2,2.250020445e-05,-4.672976521e-03
60,2,2.283635452e-05,-4.672976521e-03
61,2,2.320312564e-05,-4.672976521e-03
62,2,2.360338148e-05,-4.672976521e-03
63,2,2.404015658e-05,-4.672976521e-03
64,2,2.451665868e-05,-4.672976521e-03
65,2,2.503676791e-05,-4.672976521e-03
66,2,2.560437513e-05,-4.672976521e-03
67,2,2.622369757e-05,-4.672976521e-03
68,2,2.688064397e-05,-4.672976521e-03
69,2,2.749373137e-05,-4.672976521e-03
70,2,2.805529321e-05,-4.672976521e-03
71,2,2.856987281e-05,-4.672976521e-03
72,2,2.904145948e-05,-4.672976521e-03
73,2,2.947368421e-05,-4.672976521e-03
74,2,2.990868297e-05,-4.672976521e-03
75,2,3.038341652e-05,-4.672976521e-03
76,2,3.090184239e-05,-4.672976521e-03
77,2,3.146778324e-05,-4.672976521e-03
78,2,3.208581625e-05,-4.672976521e-03
79,2,3.276073484e-05,-4.672976521e-03
80,2,3.349724986e-05,-4.672976521e-03
81,2,3.430131728e-05,-4.672976521e-03
82,2,3.517965823e-05,-4.672976521e-03
83,2,3.613813726e-05,-4.672976521e-03
84,2,3.718507681e-05,-4.672976521e-03
85,2,3.832780448e-05,-4.672976521e-03
86,2,3.957561045e-05,-4.672976521e-03
87,2,4.093854473e-05,-4.672976521e-03
88,2,4.242542050e-05,-4.672976521e-03
89,2,4.404956552e-05,-4.672976521e-03
90,2,4.582227382e-05,-4.672976521e-03
91,2,4.775808616e-05,-4.672976521e-03
92,2,4.987178140e-05,-4.672976521e-03
93,2,5.217920429e-05,-4.672976521e-03
94,2,5.469866297e-05,-4.672976521e-03
95,2,5.744905551e-05,-4.672976521e-03
96,2,6.045387799e-05,-4.672976521e-03
97,2,6.373271678e-05,-4.672976521e-03
98,2,6.731217269e-05,-4.672976521e-03
