# application : branch_figure
# state       : emitter and extractor geometry
# voltage     : 1154.5 V (emitter minus extractor)
# note        : meniscus in this mesh is the lower one
# WARNUNG     : Prototyp, keine validierte Simulation. Siehe docs/.
i,r_a,z_a,r_b,z_b,r_mid,z_mid,len,area,nr,nz,tag,body,potential
118,2.000000000e-04,5.500000000e-04,2.009607360e-04,5.402454839e-04,2.004803680e-04,5.451227419e-04,9.801714033e-06,1.234678106e-08,-0.995185,-0.098017,extractor,1,0.000000000e+00
119,2.009607360e-04,5.402454839e-04,2.038060234e-04,5.308658284e-04,2.023833797e-04,5.355556561e-04,9.801714033e-06,1.246397991e-08,-0.956940,-0.290285,extractor,1,0.000000000e+00
120,2.038060234e-04,5.308658284e-04,2.084265194e-04,5.222214883e-04,2.061162714e-04,5.265436584e-04,9.801714033e-06,1.269387372e-08,-0.881921,-0.471397,extractor,1,0.000000000e+00
121,2.084265194e-04,5.222214883e-04,2.146446609e-04,5.146446609e-04,2.115355902e-04,5.184330746e-04,9.801714033e-06,1.302762781e-08,-0.773010,-0.634393,extractor,1,0.000000000e+00
122,2.146446609e-04,5.146446609e-04,2.222214883e-04,5.084265194e-04,2.184330746e-04,5.115355902e-04,9.801714033e-06,1.345241619e-08,-0.634393,-0.773010,extractor,1,0.000000000e+00
123,2.222214883e-04,5.084265194e-04,2.308658284e-04,5.038060234e-04,2.265436584e-04,5.061162714e-04,9.801714033e-06,1.395191448e-08,-0.471397,-0.881921,extractor,1,0.000000000e+00
124,2.308658284e-04,5.038060234e-04,2.402454839e-04,5.009607360e-04,2.355556561e-04,5.023833797e-04,9.801714033e-06,1.450692725e-08,-0.290285,-0.956940,extractor,1,0.000000000e+00
125,2.402454839e-04,5.009607360e-04,2.500000000e-04,5.000000000e-04,2.451227419e-04,5.004803680e-04,9.801714033e-06,1.509612566e-08,-0.098017,-0.995185,extractor,1,0.000000000e+00
126,2.500000000e-04,5.000000000e-04,2.601018950e-04,5.000000000e-04,2.550509475e-04,5.000000000e-04,1.010189503e-05,1.618861374e-08,0.000000,-1.000000,extractor,1,0.000000000e+00
127,2.601018950e-04,5.000000000e-04,2.707233086e-04,5.000000000e-04,2.654126018e-04,5.000000000e-04,1.062141356e-05,1.771265757e-08,0.000000,-1.000000,extractor,1,0.000000000e+00
128,2.707233086e-04,5.000000000e-04,2.818909584e-04,5.000000000e-04,2.763071335e-04,5.000000000e-04,1.116764980e-05,1.938803310e-08,0.000000,-1.000000,extractor,1,0.000000000e+00
